Population, Calves, Juveniles, Adult Males, Adult Females, Seniors, Number Culled
9799, 276, 1526, 3933, 3910, 309, 0
9415, 40, 1397, 3890, 3905, 355, 0
9074, 18, 1146, 3858, 3849, 375, 0
8723, 11, 882, 3816, 3802, 397, 0
8415, 14, 680, 3754, 3744, 365, 0
8124, 13, 545, 3693, 3693, 331, 0
7891, 11, 435, 3605, 3646, 353, 0
7659, 7, 331, 3538, 3586, 341, 0
7427, 10, 242, 3468, 3527, 331, 0
7244, 5, 179, 3412, 3451, 339, 0
7046, 6, 126, 3357, 3383, 311, 0
6867, 6, 90, 3293, 3314, 325, 0
6716, 7, 38, 3230, 3235, 364, 0
6523, 5, 35, 3137, 3145, 369, 0
6336, 7, 30, 3049, 3046, 347, 0
6156, 4, 34, 2952, 2973, 352, 0
5980, 5, 27, 2859, 2885, 367, 0
5784, 8, 24, 2777, 2784, 364, 0
5602, 5, 29, 2680, 2681, 353, 0
5420, 4, 27, 2597, 2594, 354, 0
5233, 3, 23, 2515, 2499, 369, 0
5063, 1, 23, 2421, 2404, 354, 0
4868, 2, 21, 2345, 2319, 356, 0
4701, 5, 19, 2237, 2233, 355, 0
4515, 4, 15, 2157, 2150, 320, 0
4346, 2, 15, 2080, 2082, 310, 0
4203, 2, 13, 1998, 2007, 332, 0
4055, 8, 11, 1907, 1937, 316, 0
3886, 1, 19, 1833, 1865, 320, 0
3731, 4, 14, 1762, 1771, 331, 0
3570, 3, 16, 1674, 1695, 348, 0
3417, 1, 18, 1588, 1605, 337, 0
3246, 3, 15, 1515, 1537, 315, 0
3087, 4, 15, 1443, 1452, 309, 0
2932, 2, 14, 1359, 1384, 321, 0
2779, 3, 13, 1272, 1316, 317, 0
2630, 1, 14, 1199, 1238, 327, 0
2484, 4, 13, 1109, 1171, 324, 0
2329, 1, 16, 1036, 1100, 312, 0
2178, 2, 12, 964, 1030, 311, 0
2033, 2, 13, 896, 947, 323, 0
1890, 0, 14, 827, 861, 333, 0
1717, 0, 11, 764, 771, 314, 0
1576, 2, 8, 691, 698, 310, 0
1428, 0, 9, 625, 624, 311, 0
1288, 1, 7, 560, 548, 306, 0
1143, 0, 7, 482, 487, 288, 0
1014, 1, 6, 423, 422, 300, 0
879, 0, 5, 353, 353, 280, 0
749, 2, 2, 310, 283, 235, 0
626, 1, 4, 262, 246, 201, 0
531, 0, 3, 213, 207, 187, 0
447, 0, 3, 172, 167, 154, 0
364, 0, 3, 156, 133, 115, 0
310, 0, 3, 139, 106, 110, 0
263, 0, 2, 113, 84, 101, 0
214, 0, 2, 89, 71, 87, 0
174, 0, 1, 66, 59, 84, 0
131, 0, 1, 45, 44, 68, 0
97, 0, 1, 30, 32, 67, 0
65, 0, 0, 17, 11, 42, 0
35, 0, 0, 12, 11, 14, 0
25, 0, 0, 10, 11, 5, 0
21, 0, 0, 10, 10, 4, 0
20, 0, 0, 9, 8, 4, 0
17, 0, 0, 8, 8, 1, 0
16, 0, 0, 8, 8, 1, 0
16, 0, 0, 8, 7, 3, 0
16, 0, 0, 6, 7, 3, 0
13, 0, 0, 6, 7, 0, 0
12, 0, 0, 5, 7, 1, 0
12, 0, 0, 5, 6, 4, 0
11, 0, 0, 5, 3, 3, 0
10, 0, 0, 5, 3, 3, 0
7, 0, 0, 4, 2, 1, 0
7, 0, 0, 4, 2, 1, 0
6, 0, 0, 4, 2, 1, 0
6, 0, 0, 3, 2, 1, 0
5, 0, 0, 3, 2, 0, 0
5, 0, 0, 3, 2, 1, 0
5, 0, 0, 3, 1, 1, 0
5, 0, 0, 3, 1, 1, 0
5, 0, 0, 3, 1, 1, 0
3, 0, 0, 2, 1, 0, 0
3, 0, 0, 2, 1, 0, 0
3, 0, 0, 2, 1, 0, 0
3, 0, 0, 2, 1, 0, 0
3, 0, 0, 2, 1, 0, 0
3, 0, 0, 2, 1, 0, 0
3, 0, 0, 2, 1, 1, 0
3, 0, 0, 1, 1, 1, 0
3, 0, 0, 1, 1, 1, 0
2, 0, 0, 1, 1, 1, 0
2, 0, 0, 0, 1, 1, 0
2, 0, 0, 0, 1, 1, 0
2, 0, 0, 0, 1, 1, 0
1, 0, 0, 0, 1, 1, 0
1, 0, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0
